title,course_number,short_name,department,semester,year,enrolled_count,max_enrollment,open_seats,waitlist_count,max_waitlist,enrollment_status,collected
Foundations of Data Science,27696,compsci c8,Electrical Eng & Computer Sci,Fall,2018,805,1296,491,150,700,Open,2018-06-07 13:45
Principles & Techniques of Data Science,25289,stat c100,Statistics,Fall,2018,352,744,392,293,400,Open,2018-06-07 13:45
Probability for Data Science,31468,stat 140,Statistics,Fall,2018,165,240,75,10,40,Open,2018-06-07 13:45
PyEarth: A Python Introduction to Earth Science,32879,eps 88,Earth & Planetary Science,Fall,2018,3,40,37,0,10,Open,2018-06-07 13:45
Data Science for Smart Cities,27752,civeng 88,Civil & Environmental Eng,Fall,2018,25,60,35,0,25,Open,2018-06-07 13:45
Computational Structures in Data Science,30996,compsci 88,Electrical Eng & Computer Sci,Fall,2018,121,200,79,34,100,Open,2018-06-07 13:45
Immigration: What do the data tell us?,25929,demog 88,Demography,Fall,2018,12,25,13,0,5,Open,2018-06-07 13:45
How Does History Count?,32177,history 88,History,Fall,2018,0,20,20,0,10,Open,2018-06-07 13:45
Data Science Applications in Physics,32824,physics 88,Physics,Fall,2018,0,60,60,0,10,Open,2018-06-07 13:45
Probability and Mathematical Statistics in Data Science,24294,stat 88,Statistics,Fall,2018,150,150,0,30,30,Closed,2018-06-07 13:45
Lower Division Special Topics in Business Administration,16898,ugba 96,Haas School of Business,Fall,2018,31,64,33,0,64,Open,2018-06-07 13:45
Lower Division Special Topics in Business Administration,32610,ugba 96,Haas School of Business,Fall,2018,39,64,25,0,64,Open,2018-06-07 13:45
Information Technology and Society,32637,africam 134,African American Studies,Fall,2018,40,40,0,0,0,Closed,2018-06-07 13:45
Ethics in Science and Engineering,26884,bioeng 100,Bioengineering,Fall,2018,144,160,16,20,20,Open,2018-06-07 13:45
"Introduction to Science, Technology, and Society",31147,history c182c,History,Fall,2018,105,200,95,1,40,Open,2018-06-07 13:45
The Social Life of Computing,25474,isf 100j,UG Interdisciplinary Studies,Fall,2018,78,90,12,0,25,Open,2018-06-07 13:45
Special Topics,32783,compsci 194,Electrical Eng & Computer Sci,Fall,2018,30,40,10,10,35,Open,2018-06-07 13:45
Introduction to Population Analysis,21166,demog 110,Demography,Fall,2018,32,80,48,0,12,Open,2018-06-07 13:45
Energy and Environmental Issues,32987,eneres 190c,Energy & Resources Group,Fall,2018,0,40,40,0,40,Open,2018-06-07 13:45
Data Science in Global Change Ecology,26798,espm 157,"Env Sci, Policy, & Mgmt",Fall,2018,38,50,12,0,10,Open,2018-06-07 13:45
Applied Data Science with Venture Applications,28108,indeng 135,Industrial Eng & Ops Research,Fall,2018,86,180,94,29,55,Open,2018-06-07 13:45
Introduction to Machine Learning and Data Analytics,28029,indeng 142,Industrial Eng & Ops Research,Fall,2018,46,86,40,10,10,Open,2018-06-07 13:45
Natural Language Processing,28716,info 159,School of Information,Fall,2018,75,75,0,41,75,Closed,2018-06-07 13:45
Introduction to Computational Techniques in Physics,23096,physics 77,Physics,Fall,2018,16,60,44,0,10,Open,2018-06-07 13:45
Elective Physics: Special Topics,25653,physics 151,Physics,Fall,2018,24,45,21,0,5,Open,2018-06-07 13:45
Concepts in Computing with Data,23939,stat 133,Statistics,Fall,2018,242,300,58,0,0,Open,2018-06-07 13:45
Reproducible and Collaborative Statistical Data Science,23850,stat 159,Statistics,Fall,2018,41,50,9,9,10,Open,2018-06-07 13:45
The Beauty and Joy of Computing,27067,compsci 10,Electrical Eng & Computer Sci,Fall,2018,34,237,203,0,125,Open,2018-06-07 13:45
The Structure and Interpretation of Computer Programs,27153,compsci 61A,Electrical Eng & Computer Sci,Fall,2018,186,1700,1514,141,700,Open,2018-06-07 13:45
Data Structures,27255,compsci 61B,Electrical Eng & Computer Sci,Fall,2018,310,670,360,207,350,Open,2018-06-07 13:45
Linear Algebra and Differential Equations,22246,math 54,Mathematics,Fall,2018,116,481,365,0,0,Open,2018-06-07 13:45
Linear Algebra and Differential Equations,22247,math 54,Mathematics,Fall,2018,197,700,503,0,0,Open,2018-06-07 13:45
Linear Algebra and Differential Equations,24088,math 54,Mathematics,Fall,2018,353,400,47,0,0,Open,2018-06-07 13:45
Introduction to Artificial Intelligence,27019,compsci 188,Electrical Eng & Computer Sci,Fall,2018,221,650,429,329,500,Open,2018-06-07 13:45
