title,course_number,short_name,department,semester,year,enrolled_count,max_enrollment,open_seats,waitlist_count,max_waitlist,enrollment_status,collected
Foundations of Data Science,27696,compsci c8,Electrical Eng & Computer Sci,Fall,2018,825,1296,471,153,700,Open,2018-06-15 11:04
Principles & Techniques of Data Science,25289,stat c100,Statistics,Fall,2018,362,744,382,279,400,Open,2018-06-15 11:04
Probability for Data Science,31468,stat 140,Statistics,Fall,2018,170,240,70,9,40,Open,2018-06-15 11:04
PyEarth: A Python Introduction to Earth Science,32879,eps 88,Earth & Planetary Science,Fall,2018,3,40,37,0,10,Open,2018-06-15 11:04
Data Science for Smart Cities,27752,civeng 88,Civil & Environmental Eng,Fall,2018,26,60,34,0,25,Open,2018-06-15 11:04
Computational Structures in Data Science,30996,compsci 88,Electrical Eng & Computer Sci,Fall,2018,122,200,78,33,100,Open,2018-06-15 11:04
Immigration: What do the data tell us?,25929,demog 88,Demography,Fall,2018,13,25,12,0,5,Open,2018-06-15 11:04
How Does History Count?,32177,history 88,History,Fall,2018,0,20,20,0,10,Open,2018-06-15 11:04
Data Science Applications in Physics,32824,physics 88,Physics,Fall,2018,1,60,59,0,10,Open,2018-06-15 11:04
Probability and Mathematical Statistics in Data Science,24294,stat 88,Statistics,Fall,2018,150,150,0,30,30,Closed,2018-06-15 11:04
Lower Division Special Topics in Business Administration,16898,ugba 96,Haas School of Business,Fall,2018,32,64,32,0,64,Open,2018-06-15 11:04
Lower Division Special Topics in Business Administration,32610,ugba 96,Haas School of Business,Fall,2018,42,64,22,0,64,Open,2018-06-15 11:04
Information Technology and Society,32637,africam 134,African American Studies,Fall,2018,40,40,0,0,0,Closed,2018-06-15 11:04
Ethics in Science and Engineering,26884,bioeng 100,Bioengineering,Fall,2018,145,160,15,20,20,Open,2018-06-15 11:04
"Introduction to Science, Technology, and Society",31147,history c182c,History,Fall,2018,108,200,92,1,40,Open,2018-06-15 11:04
The Social Life of Computing,25474,isf 100j,UG Interdisciplinary Studies,Fall,2018,80,90,10,0,25,Open,2018-06-15 11:04
Special Topics,32783,compsci 194,Electrical Eng & Computer Sci,Fall,2018,32,40,8,10,35,Open,2018-06-15 11:04
Introduction to Population Analysis,21166,demog 110,Demography,Fall,2018,32,80,48,0,12,Open,2018-06-15 11:04
Energy and Environmental Issues,32987,eneres 190c,Energy & Resources Group,Fall,2018,1,40,39,0,40,Open,2018-06-15 11:04
Data Science in Global Change Ecology,26798,espm 157,"Env Sci, Policy, & Mgmt",Fall,2018,40,50,10,0,10,Open,2018-06-15 11:04
Applied Data Science with Venture Applications,28108,indeng 135,Industrial Eng & Ops Research,Fall,2018,84,180,96,35,55,Open,2018-06-15 11:04
Introduction to Machine Learning and Data Analytics,28029,indeng 142,Industrial Eng & Ops Research,Fall,2018,62,86,24,0,10,Open,2018-06-15 11:04
Natural Language Processing,28716,info 159,School of Information,Fall,2018,75,75,0,42,75,Closed,2018-06-15 11:04
Introduction to Computational Techniques in Physics,23096,physics 77,Physics,Fall,2018,17,60,43,0,10,Open,2018-06-15 11:04
Elective Physics: Special Topics,25653,physics 151,Physics,Fall,2018,28,45,17,0,5,Open,2018-06-15 11:04
Concepts in Computing with Data,23939,stat 133,Statistics,Fall,2018,245,300,55,0,0,Open,2018-06-15 11:04
Reproducible and Collaborative Statistical Data Science,23850,stat 159,Statistics,Fall,2018,46,50,4,8,10,Open,2018-06-15 11:04
The Beauty and Joy of Computing,27067,compsci 10,Electrical Eng & Computer Sci,Fall,2018,36,237,201,0,125,Open,2018-06-15 11:04
The Structure and Interpretation of Computer Programs,27153,compsci 61A,Electrical Eng & Computer Sci,Fall,2018,193,1700,1507,145,700,Open,2018-06-15 11:04
Data Structures,27255,compsci 61B,Electrical Eng & Computer Sci,Fall,2018,323,670,347,210,350,Open,2018-06-15 11:04
Linear Algebra and Differential Equations,22246,math 54,Mathematics,Fall,2018,120,449,329,0,0,Open,2018-06-15 11:04
Linear Algebra and Differential Equations,22247,math 54,Mathematics,Fall,2018,200,700,500,0,0,Open,2018-06-15 11:04
Linear Algebra and Differential Equations,24088,math 54,Mathematics,Fall,2018,351,400,49,0,0,Open,2018-06-15 11:04
Introduction to Artificial Intelligence,27019,compsci 188,Electrical Eng & Computer Sci,Fall,2018,281,650,369,277,500,Open,2018-06-15 11:04
